observation_date,calendar_year,team_abbreviation,team_name,conference,team_strength_index,is_game_day,opponent_abbreviation,points_for,points_against,win_flag,point_differential
2022-01-07,2022,MIA,Miami Heat,Eastern,106.38,0,,,,,
2022-01-07,2022,MIL,Milwaukee Bucks,Eastern,107.60,0,,,,,
2022-01-07,2022,DEN,Denver Nuggets,Western,107.46,1,BOS,131,126,1,5
2022-01-07,2022,GSW,Golden State Warriors,Western,104.84,0,,,,,
2022-01-07,2022,LAL,Los Angeles Lakers,Western,101.42,0,,,,,
2022-01-08,2022,BOS,Boston Celtics,Eastern,109.06,0,,,,,
2022-01-08,2022,MIA,Miami Heat,Eastern,106.53,1,GSW,110,98,1,12
2022-01-08,2022,MIL,Milwaukee Bucks,Eastern,107.69,0,,,,,
2022-01-08,2022,DEN,Denver Nuggets,Western,107.69,0,,,,,
2022-01-08,2022,GSW,Golden State Warriors,Western,105.14,1,MIA,128,124,1,4
2022-01-08,2022,LAL,Los Angeles Lakers,Western,101.26,0,,,,,
2022-01-09,2022,BOS,Boston Celtics,Eastern,109.60,0,,,,,
2022-01-09,2022,MIA,Miami Heat,Eastern,106.42,0,,,,,
2022-01-09,2022,MIL,Milwaukee Bucks,Eastern,107.69,1,LAL,118,107,1,11
2022-01-09,2022,DEN,Denver Nuggets,Western,107.14,0,,,,,
2022-01-09,2022,GSW,Golden State Warriors,Western,104.73,0,,,,,
2022-01-09,2022,LAL,Los Angeles Lakers,Western,100.81,1,MIL,101,112,0,-11
2022-01-10,2022,BOS,Boston Celtics,Eastern,109.30,1,GSW,125,123,1,2
2022-01-10,2022,MIA,Miami Heat,Eastern,106.30,0,,,,,
2022-01-10,2022,MIL,Milwaukee Bucks,Eastern,107.40,0,,,,,
2022-01-10,2022,DEN,Denver Nuggets,Western,106.36,1,MIA,105,104,1,1
2022-01-10,2022,GSW,Golden State Warriors,Western,105.77,0,,,,,
2022-01-10,2022,LAL,Los Angeles Lakers,Western,100.38,0,,,,,
2022-01-11,2022,BOS,Boston Celtics,Eastern,109.49,0,,,,,
2022-01-11,2022,MIA,Miami Heat,Eastern,104.02,1,LAL,114,130,0,-16
2022-01-11,2022,MIL,Milwaukee Bucks,Eastern,107.93,0,,,,,
2022-01-11,2022,DEN,Denver Nuggets,Western,107.18,0,,,,,
2022-01-11,2022,GSW,Golden State Warriors,Western,105.55,1,MIL,100,97,1,3
2022-01-11,2022,LAL,Los Angeles Lakers,Western,100.09,0,,,,,
2022-01-12,2022,BOS,Boston Celtics,Eastern,107.90,0,,,,,
2022-01-12,2022,MIA,Miami Heat,Eastern,106.35,0,,,,,
2022-01-12,2022,MIL,Milwaukee Bucks,Eastern,107.05,1,BOS,110,111,0,-1
2022-01-12,2022,DEN,Denver Nuggets,Western,107.08,0,,,,,
2022-01-12,2022,GSW,Golden State Warriors,Western,105.65,0,,,,,
2022-01-12,2022,LAL,Los Angeles Lakers,Western,102.07,1,DEN,117,103,1,14
2022-01-13,2022,BOS,Boston Celtics,Eastern,108.93,1,LAL,119,113,1,6
2022-01-13,2022,MIA,Miami Heat,Eastern,105.83,0,,,,,
2022-01-13,2022,MIL,Milwaukee Bucks,Eastern,106.81,0,,,,,
2022-01-13,2022,DEN,Denver Nuggets,Western,107.73,1,MIL,118,113,1,5
2022-01-13,2022,GSW,Golden State Warriors,Western,106.07,0,,,,,
2022-01-13,2022,LAL,Los Angeles Lakers,Western,101.19,0,,,,,
2022-01-14,2022,BOS,Boston Celtics,Eastern,108.59,0,,,,,
2022-01-14,2022,MIA,Miami Heat,Eastern,105.53,1,BOS,119,121,0,-2
2022-01-14,2022,MIL,Milwaukee Bucks,Eastern,107.77,0,,,,,
2022-01-14,2022,DEN,Denver Nuggets,Western,107.22,0,,,,,
2022-01-14,2022,GSW,Golden State Warriors,Western,103.91,1,DEN,107,124,0,-17
2022-01-14,2022,LAL,Los Angeles Lakers,Western,100.13,0,,,,,
2022-01-15,2022,BOS,Boston Celtics,Eastern,109.26,0,,,,,
2022-01-15,2022,MIA,Miami Heat,Eastern,104.98,0,,,,,
2022-01-15,2022,MIL,Milwaukee Bucks,Eastern,108.53,1,MIA,121,110,1,11
2022-01-15,2022,DEN,Denver Nuggets,Western,107.47,0,,,,,
2022-01-15,2022,GSW,Golden State Warriors,Western,104.50,0,,,,,
2022-01-15,2022,LAL,Los Angeles Lakers,Western,101.45,1,GSW,128,124,1,4
2022-01-16,2022,BOS,Boston Celtics,Eastern,106.53,1,MIA,98,114,0,-16
2022-01-16,2022,MIA,Miami Heat,Eastern,104.76,0,,,,,
2022-01-16,2022,MIL,Milwaukee Bucks,Eastern,106.18,0,,,,,
2022-01-16,2022,DEN,Denver Nuggets,Western,106.66,1,GSW,123,125,0,-2
2022-01-16,2022,GSW,Golden State Warriors,Western,106.09,0,,,,,
2022-01-16,2022,LAL,Los Angeles Lakers,Western,100.02,0,,,,,
2022-01-17,2022,BOS,Boston Celtics,Eastern,109.01,0,,,,,
2022-01-17,2022,MIA,Miami Heat,Eastern,106.82,1,MIL,110,100,1,10
2022-01-17,2022,MIL,Milwaukee Bucks,Eastern,107.59,0,,,,,
2022-01-17,2022,DEN,Denver Nuggets,Western,107.42,0,,,,,
2022-01-17,2022,GSW,Golden State Warriors,Western,106.30,1,LAL,124,120,1,4
2022-01-17,2022,LAL,Los Angeles Lakers,Western,100.37,0,,,,,
2022-01-18,2022,BOS,Boston Celtics,Eastern,107.79,0,,,,,
2022-01-18,2022,MIA,Miami Heat,Eastern,106.08,0,,,,,
2022-01-18,2022,MIL,Milwaukee Bucks,Eastern,105.36,1,DEN,102,124,0,-22
2022-01-18,2022,DEN,Denver Nuggets,Western,107.50,0,,,,,
2022-01-18,2022,GSW,Golden State Warriors,Western,105.44,0,,,,,
2022-01-18,2022,LAL,Los Angeles Lakers,Western,101.10,1,BOS,113,121,0,-8
2022-01-19,2022,BOS,Boston Celtics,Eastern,107.39,1,MIA,119,124,0,-5
2022-01-19,2022,MIA,Miami Heat,Eastern,105.15,0,,,,,
2022-01-19,2022,MIL,Milwaukee Bucks,Eastern,106.39,0,,,,,
2022-01-19,2022,DEN,Denver Nuggets,Western,105.86,1,GSW,98,129,0,-31
2022-01-19,2022,GSW,Golden State Warriors,Western,105.88,0,,,,,
2022-01-19,2022,LAL,Los Angeles Lakers,Western,99.98,0,,,,,
2022-01-20,2022,BOS,Boston Celtics,Eastern,109.48,0,,,,,
2022-01-20,2022,MIA,Miami Heat,Eastern,104.62,1,MIL,107,129,0,-22
2022-01-20,2022,MIL,Milwaukee Bucks,Eastern,106.88,0,,,,,
2022-01-20,2022,DEN,Denver Nuggets,Western,106.92,0,,,,,
2022-01-20,2022,GSW,Golden State Warriors,Western,105.15,1,LAL,119,127,0,-8
2022-01-20,2022,LAL,Los Angeles Lakers,Western,100.58,0,,,,,
2022-01-21,2022,BOS,Boston Celtics,Eastern,109.28,0,,,,,
2022-01-21,2022,MIA,Miami Heat,Eastern,104.80,0,,,,,
2022-01-21,2022,MIL,Milwaukee Bucks,Eastern,106.76,1,DEN,100,97,1,3
2022-01-21,2022,DEN,Denver Nuggets,Western,106.74,0,,,,,
2022-01-21,2022,GSW,Golden State Warriors,Western,105.52,0,,,,,
2022-01-21,2022,LAL,Los Angeles Lakers,Western,98.66,1,BOS,99,116,0,-17
2022-01-22,2022,BOS,Boston Celtics,Eastern,110.13,1,MIL,129,110,1,19
2022-01-22,2022,MIA,Miami Heat,Eastern,105.39,0,,,,,
2022-01-22,2022,MIL,Milwaukee Bucks,Eastern,107.89,0,,,,,
2022-01-22,2022,DEN,Denver Nuggets,Western,108.08,1,LAL,122,102,1,20
2022-01-22,2022,GSW,Golden State Warriors,Western,105.35,0,,,,,
2022-01-22,2022,LAL,Los Angeles Lakers,Western,100.82,0,,,,,
2022-01-23,2022,BOS,Boston Celtics,Eastern,108.22,0,,,,,
2022-01-23,2022,MIA,Miami Heat,Eastern,106.83,1,DEN,123,109,1,14
2022-01-23,2022,MIL,Milwaukee Bucks,Eastern,106.15,0,,,,,
2022-01-23,2022,DEN,Denver Nuggets,Western,108.15,0,,,,,
2022-01-23,2022,GSW,Golden State Warriors,Western,105.79,1,BOS,125,110,1,15
2022-01-23,2022,LAL,Los Angeles Lakers,Western,100.37,0,,,,,
2022-01-24,2022,BOS,Boston Celtics,Eastern,108.84,0,,,,,
2022-01-24,2022,MIA,Miami Heat,Eastern,105.98,0,,,,,
2022-01-24,2022,MIL,Milwaukee Bucks,Eastern,106.18,1,GSW,111,129,0,-18
2022-01-24,2022,DEN,Denver Nuggets,Western,106.67,0,,,,,
2022-01-24,2022,GSW,Golden State Warriors,Western,105.51,0,,,,,
2022-01-24,2022,LAL,Los Angeles Lakers,Western,100.85,1,MIA,126,124,1,2
2022-01-25,2022,BOS,Boston Celtics,Eastern,106.47,1,DEN,98,119,0,-21
2022-01-25,2022,MIA,Miami Heat,Eastern,105.89,0,,,,,
2022-01-25,2022,MIL,Milwaukee Bucks,Eastern,106.48,0,,,,,
2022-01-25,2022,DEN,Denver Nuggets,Western,106.74,1,BOS,115,129,0,-14
2022-01-25,2022,GSW,Golden State Warriors,Western,104.86,0,,,,,
2022-01-25,2022,LAL,Los Angeles Lakers,Western,100.55,0,,,,,
2022-01-26,2022,BOS,Boston Celtics,Eastern,108.36,0,,,,,
2022-01-26,2022,MIA,Miami Heat,Eastern,105.50,1,GSW,130,119,1,11
2022-01-26,2022,MIL,Milwaukee Bucks,Eastern,107.36,0,,,,,
2022-01-26,2022,DEN,Denver Nuggets,Western,106.84,0,,,,,
2022-01-26,2022,GSW,Golden State Warriors,Western,104.53,1,MIA,122,125,0,-3
2022-01-26,2022,LAL,Los Angeles Lakers,Western,101.03,0,,,,,
2022-01-27,2022,BOS,Boston Celtics,Eastern,108.97,0,,,,,
2022-01-27,2022,MIA,Miami Heat,Eastern,105.91,0,,,,,
2022-01-27,2022,MIL,Milwaukee Bucks,Eastern,106.99,1,LAL,126,123,1,3
2022-01-27,2022,DEN,Denver Nuggets,Western,108.14,0,,,,,
2022-01-27,2022,GSW,Golden State Warriors,Western,105.35,0,,,,,
2022-01-27,2022,LAL,Los Angeles Lakers,Western,102.61,1,MIL,125,101,1,24
2022-01-28,2022,BOS,Boston Celtics,Eastern,107.92,1,GSW,121,129,0,-8
2022-01-28,2022,MIA,Miami Heat,Eastern,105.92,0,,,,,
2022-01-28,2022,MIL,Milwaukee Bucks,Eastern,106.43,0,,,,,
2022-01-28,2022,DEN,Denver Nuggets,Western,108.71,1,MIA,120,115,1,5
2022-01-28,2022,GSW,Golden State Warriors,Western,105.27,0,,,,,
2022-01-28,2022,LAL,Los Angeles Lakers,Western,100.58,0,,,,,
2022-01-29,2022,BOS,Boston Celtics,Eastern,108.63,0,,,,,
2022-01-29,2022,MIA,Miami Heat,Eastern,106.23,1,LAL,123,120,1,3
2022-01-29,2022,MIL,Milwaukee Bucks,Eastern,107.38,0,,,,,
2022-01-29,2022,DEN,Denver Nuggets,Western,108.25,0,,,,,
2022-01-29,2022,GSW,Golden State Warriors,Western,103.89,1,MIL,101,128,0,-27
2022-01-29,2022,LAL,Los Angeles Lakers,Western,101.12,0,,,,,
2022-01-30,2022,BOS,Boston Celtics,Eastern,108.48,0,,,,,
2022-01-30,2022,MIA,Miami Heat,Eastern,106.06,0,,,,,
2022-01-30,2022,MIL,Milwaukee Bucks,Eastern,107.13,1,BOS,107,99,1,8
2022-01-30,2022,DEN,Denver Nuggets,Western,106.82,0,,,,,
2022-01-30,2022,GSW,Golden State Warriors,Western,104.99,0,,,,,
2022-01-30,2022,LAL,Los Angeles Lakers,Western,100.55,1,DEN,124,117,1,7
2022-01-31,2022,BOS,Boston Celtics,Eastern,106.85,1,LAL,101,117,0,-16
2022-01-31,2022,MIA,Miami Heat,Eastern,105.67,0,,,,,
2022-01-31,2022,MIL,Milwaukee Bucks,Eastern,107.97,0,,,,,
2022-01-31,2022,DEN,Denver Nuggets,Western,108.24,1,MIL,128,122,1,6
2022-01-31,2022,GSW,Golden State Warriors,Western,104.70,0,,,,,
2022-01-31,2022,LAL,Los Angeles Lakers,Western,99.26,0,,,,,
2022-02-01,2022,BOS,Boston Celtics,Eastern,107.96,0,,,,,
2022-02-01,2022,MIA,Miami Heat,Eastern,105.73,1,BOS,105,99,1,6
2022-02-01,2022,MIL,Milwaukee Bucks,Eastern,107.33,0,,,,,
2022-02-01,2022,DEN,Denver Nuggets,Western,106.97,0,,,,,
2022-02-01,2022,GSW,Golden State Warriors,Western,104.86,1,DEN,111,113,0,-2
2022-02-01,2022,LAL,Los Angeles Lakers,Western,100.02,0,,,,,
2022-02-02,2022,BOS,Boston Celtics,Eastern,107.34,0,,,,,
2022-02-02,2022,MIA,Miami Heat,Eastern,105.64,0,,,,,
2022-02-02,2022,MIL,Milwaukee Bucks,Eastern,107.79,1,MIA,123,124,0,-1
2022-02-02,2022,DEN,Denver Nuggets,Western,107.06,0,,,,,
2022-02-02,2022,GSW,Golden State Warriors,Western,105.64,0,,,,,
2022-02-02,2022,LAL,Los Angeles Lakers,Western,98.57,1,GSW,108,116,0,-8
2022-02-03,2022,BOS,Boston Celtics,Eastern,107.03,1,MIA,100,126,0,-26
2022-02-03,2022,MIA,Miami Heat,Eastern,106.28,0,,,,,
2022-02-03,2022,MIL,Milwaukee Bucks,Eastern,107.59,0,,,,,
2022-02-03,2022,DEN,Denver Nuggets,Western,107.71,1,GSW,105,101,1,4
2022-02-03,2022,GSW,Golden State Warriors,Western,105.12,0,,,,,
2022-02-03,2022,LAL,Los Angeles Lakers,Western,99.96,0,,,,,
2022-02-04,2022,BOS,Boston Celtics,Eastern,108.44,0,,,,,
2022-02-04,2022,MIA,Miami Heat,Eastern,105.92,1,MIL,116,119,0,-3
2022-02-04,2022,MIL,Milwaukee Bucks,Eastern,108.01,0,,,,,
2022-02-04,2022,DEN,Denver Nuggets,Western,107.55,0,,,,,
2022-02-04,2022,GSW,Golden State Warriors,Western,107.07,1,LAL,126,107,1,19
2022-02-04,2022,LAL,Los Angeles Lakers,Western,99.03,0,,,,,
2022-02-05,2022,BOS,Boston Celtics,Eastern,108.98,0,,,,,
2022-02-05,2022,MIA,Miami Heat,Eastern,105.68,0,,,,,
2022-02-05,2022,MIL,Milwaukee Bucks,Eastern,105.50,1,DEN,108,126,0,-18
2022-02-05,2022,DEN,Denver Nuggets,Western,106.99,0,,,,,
2022-02-05,2022,GSW,Golden State Warriors,Western,105.14,0,,,,,
2022-02-05,2022,LAL,Los Angeles Lakers,Western,98.91,1,BOS,103,104,0,-1
2022-02-06,2022,BOS,Boston Celtics,Eastern,109.14,1,MIA,111,96,1,15
2022-02-06,2022,MIA,Miami Heat,Eastern,106.40,0,,,,,
2022-02-06,2022,MIL,Milwaukee Bucks,Eastern,108.44,0,,,,,
2022-02-06,2022,DEN,Denver Nuggets,Western,108.83,1,GSW,110,99,1,11
2022-02-06,2022,GSW,Golden State Warriors,Western,105.19,0,,,,,
2022-02-06,2022,LAL,Los Angeles Lakers,Western,98.70,0,,,,,
2022-02-07,2022,BOS,Boston Celtics,Eastern,107.34,0,,,,,
2022-02-07,2022,MIA,Miami Heat,Eastern,105.41,1,MIL,115,113,1,2
2022-02-07,2022,MIL,Milwaukee Bucks,Eastern,107.02,0,,,,,
2022-02-07,2022,DEN,Denver Nuggets,Western,107.65,0,,,,,
2022-02-07,2022,GSW,Golden State Warriors,Western,105.59,1,LAL,113,109,1,4
2022-02-07,2022,LAL,Los Angeles Lakers,Western,99.34,0,,,,,
2022-02-08,2022,BOS,Boston Celtics,Eastern,107.87,0,,,,,
2022-02-08,2022,MIA,Miami Heat,Eastern,106.03,0,,,,,
2022-02-08,2022,MIL,Milwaukee Bucks,Eastern,108.80,1,DEN,127,106,1,21
2022-02-08,2022,DEN,Denver Nuggets,Western,107.42,0,,,,,
2022-02-08,2022,GSW,Golden State Warriors,Western,104.57,0,,,,,
2022-02-08,2022,LAL,Los Angeles Lakers,Western,100.01,1,BOS,130,118,1,12
2022-02-09,2022,BOS,Boston Celtics,Eastern,109.44,1,MIL,108,99,1,9
2022-02-09,2022,MIA,Miami Heat,Eastern,105.31,0,,,,,
2022-02-09,2022,MIL,Milwaukee Bucks,Eastern,108.42,0,,,,,
2022-02-09,2022,DEN,Denver Nuggets,Western,105.14,1,LAL,101,127,0,-26
2022-02-09,2022,GSW,Golden State Warriors,Western,103.78,0,,,,,
2022-02-09,2022,LAL,Los Angeles Lakers,Western,99.27,0,,,,,
2022-02-10,2022,BOS,Boston Celtics,Eastern,108.87,0,,,,,
2022-02-10,2022,MIA,Miami Heat,Eastern,104.95,1,DEN,113,118,0,-5
2022-02-10,2022,MIL,Milwaukee Bucks,Eastern,108.00,0,,,,,
2022-02-10,2022,DEN,Denver Nuggets,Western,108.17,0,,,,,
2022-02-10,2022,GSW,Golden State Warriors,Western,104.54,1,BOS,125,122,1,3
2022-02-10,2022,LAL,Los Angeles Lakers,Western,99.09,0,,,,,
2022-02-11,2022,BOS,Boston Celtics,Eastern,107.95,0,,,,,
2022-02-11,2022,MIA,Miami Heat,Eastern,105.84,0,,,,,
2022-02-11,2022,MIL,Milwaukee Bucks,Eastern,108.90,1,GSW,115,98,1,17
2022-02-11,2022,DEN,Denver Nuggets,Western,106.87,0,,,,,
2022-02-11,2022,GSW,Golden State Warriors,Western,103.38,0,,,,,
2022-02-11,2022,LAL,Los Angeles Lakers,Western,100.04,1,MIA,106,103,1,3
2022-02-12,2022,BOS,Boston Celtics,Eastern,107.97,1,DEN,128,126,1,2
2022-02-12,2022,MIA,Miami Heat,Eastern,106.02,0,,,,,
2022-02-12,2022,MIL,Milwaukee Bucks,Eastern,107.77,0,,,,,
2022-02-12,2022,DEN,Denver Nuggets,Western,107.79,1,BOS,113,103,1,10
2022-02-12,2022,GSW,Golden State Warriors,Western,103.94,0,,,,,
2022-02-12,2022,LAL,Los Angeles Lakers,Western,99.73,0,,,,,
2022-02-13,2022,BOS,Boston Celtics,Eastern,108.99,0,,,,,
2022-02-13,2022,MIA,Miami Heat,Eastern,107.09,1,GSW,128,110,1,18
2022-02-13,2022,MIL,Milwaukee Bucks,Eastern,108.24,0,,,,,
2022-02-13,2022,DEN,Denver Nuggets,Western,107.13,0,,,,,
2022-02-13,2022,GSW,Golden State Warriors,Western,102.74,1,MIA,126,130,0,-4
2022-02-13,2022,LAL,Los Angeles Lakers,Western,99.06,0,,,,,
2022-02-14,2022,BOS,Boston Celtics,Eastern,108.60,0,,,,,
2022-02-14,2022,MIA,Miami Heat,Eastern,105.38,0,,,,,
2022-02-14,2022,MIL,Milwaukee Bucks,Eastern,109.15,1,LAL,126,97,1,29
2022-02-14,2022,DEN,Denver Nuggets,Western,107.90,0,,,,,
2022-02-14,2022,GSW,Golden State Warriors,Western,102.89,0,,,,,
2022-02-14,2022,LAL,Los Angeles Lakers,Western,98.62,1,MIL,113,111,1,2
2022-02-15,2022,BOS,Boston Celtics,Eastern,107.41,1,GSW,105,120,0,-15
2022-02-15,2022,MIA,Miami Heat,Eastern,106.64,0,,,,,
2022-02-15,2022,MIL,Milwaukee Bucks,Eastern,108.68,0,,,,,
2022-02-15,2022,DEN,Denver Nuggets,Western,107.97,1,MIA,124,110,1,14
2022-02-15,2022,GSW,Golden State Warriors,Western,102.73,0,,,,,
2022-02-15,2022,LAL,Los Angeles Lakers,Western,99.06,0,,,,,
2022-02-16,2022,BOS,Boston Celtics,Eastern,108.11,0,,,,,
2022-02-16,2022,MIA,Miami Heat,Eastern,104.07,1,LAL,103,124,0,-21
2022-02-16,2022,MIL,Milwaukee Bucks,Eastern,107.66,0,,,,,
2022-02-16,2022,DEN,Denver Nuggets,Western,106.32,0,,,,,
2022-02-16,2022,GSW,Golden State Warriors,Western,102.62,1,MIL,121,129,0,-8
2022-02-16,2022,LAL,Los Angeles Lakers,Western,98.94,0,,,,,
2022-02-17,2022,BOS,Boston Celtics,Eastern,107.97,0,,,,,
2022-02-17,2022,MIA,Miami Heat,Eastern,106.83,0,,,,,
2022-02-17,2022,MIL,Milwaukee Bucks,Eastern,106.62,1,BOS,103,111,0,-8
2022-02-17,2022,DEN,Denver Nuggets,Western,107.71,0,,,,,
2022-02-17,2022,GSW,Golden State Warriors,Western,103.54,0,,,,,
2022-02-17,2022,LAL,Los Angeles Lakers,Western,99.23,1,DEN,120,97,1,23
2022-02-18,2022,BOS,Boston Celtics,Eastern,110.26,1,LAL,130,96,1,34
2022-02-18,2022,MIA,Miami Heat,Eastern,106.86,0,,,,,
2022-02-18,2022,MIL,Milwaukee Bucks,Eastern,107.28,0,,,,,
2022-02-18,2022,DEN,Denver Nuggets,Western,107.21,1,MIL,113,98,1,15
2022-02-18,2022,GSW,Golden State Warriors,Western,103.00,0,,,,,
2022-02-18,2022,LAL,Los Angeles Lakers,Western,98.89,0,,,,,
2022-02-19,2022,BOS,Boston Celtics,Eastern,108.41,0,,,,,
2022-02-19,2022,MIA,Miami Heat,Eastern,104.72,1,BOS,104,125,0,-21
2022-02-19,2022,MIL,Milwaukee Bucks,Eastern,107.11,0,,,,,
2022-02-19,2022,DEN,Denver Nuggets,Western,106.00,0,,,,,
2022-02-19,2022,GSW,Golden State Warriors,Western,101.82,1,DEN,120,125,0,-5
2022-02-19,2022,LAL,Los Angeles Lakers,Western,99.33,0,,,,,
2022-02-20,2022,BOS,Boston Celtics,Eastern,109.58,0,,,,,
2022-02-20,2022,MIA,Miami Heat,Eastern,107.50,0,,,,,
2022-02-20,2022,MIL,Milwaukee Bucks,Eastern,109.41,1,MIA,113,104,1,9
2022-02-20,2022,DEN,Denver Nuggets,Western,106.67,0,,,,,
2022-02-20,2022,GSW,Golden State Warriors,Western,102.71,0,,,,,
2022-02-20,2022,LAL,Los Angeles Lakers,Western,99.97,1,GSW,110,101,1,9
2022-02-21,2022,BOS,Boston Celtics,Eastern,108.37,1,MIA,110,113,0,-3
2022-02-21,2022,MIA,Miami Heat,Eastern,106.24,0,,,,,
2022-02-21,2022,MIL,Milwaukee Bucks,Eastern,108.64,0,,,,,
2022-02-21,2022,DEN,Denver Nuggets,Western,108.37,1,GSW,121,102,1,19
2022-02-21,2022,GSW,Golden State Warriors,Western,102.56,0,,,,,
2022-02-21,2022,LAL,Los Angeles Lakers,Western,99.08,0,,,,,
2022-02-22,2022,BOS,Boston Celtics,Eastern,109.27,0,,,,,
2022-02-22,2022,MIA,Miami Heat,Eastern,108.06,1,MIL,128,109,1,19
2022-02-22,2022,MIL,Milwaukee Bucks,Eastern,108.07,0,,,,,
2022-02-22,2022,DEN,Denver Nuggets,Western,106.25,0,,,,,
2022-02-22,2022,GSW,Golden State Warriors,Western,101.40,1,LAL,100,126,0,-26
2022-02-22,2022,LAL,Los Angeles Lakers,Western,97.80,0,,,,,
2022-02-23,2022,BOS,Boston Celtics,Eastern,109.45,0,,,,,
2022-02-23,2022,MIA,Miami Heat,Eastern,106.45,0,,,,,
2022-02-23,2022,MIL,Milwaukee Bucks,Eastern,106.65,1,DEN,100,125,0,-25
2022-02-23,2022,DEN,Denver Nuggets,Western,106.80,0,,,,,
2022-02-23,2022,GSW,Golden State Warriors,Western,102.27,0,,,,,
2022-02-23,2022,LAL,Los Angeles Lakers,Western,96.95,1,BOS,105,115,0,-10
2022-02-24,2022,BOS,Boston Celtics,Eastern,109.60,1,MIA,127,116,1,11
2022-02-24,2022,MIA,Miami Heat,Eastern,107.81,0,,,,,
2022-02-24,2022,MIL,Milwaukee Bucks,Eastern,107.48,0,,,,,
2022-02-24,2022,DEN,Denver Nuggets,Western,106.30,1,GSW,118,120,0,-2
2022-02-24,2022,GSW,Golden State Warriors,Western,102.21,0,,,,,
2022-02-24,2022,LAL,Los Angeles Lakers,Western,98.39,0,,,,,
2022-02-25,2022,BOS,Boston Celtics,Eastern,108.96,0,,,,,
2022-02-25,2022,MIA,Miami Heat,Eastern,108.94,1,MIL,125,98,1,27
2022-02-25,2022,MIL,Milwaukee Bucks,Eastern,108.33,0,,,,,
2022-02-25,2022,DEN,Denver Nuggets,Western,106.68,0,,,,,
2022-02-25,2022,GSW,Golden State Warriors,Western,101.33,1,LAL,111,116,0,-5
2022-02-25,2022,LAL,Los Angeles Lakers,Western,98.13,0,,,,,
2022-02-26,2022,BOS,Boston Celtics,Eastern,109.67,0,,,,,
2022-02-26,2022,MIA,Miami Heat,Eastern,107.91,0,,,,,
2022-02-26,2022,MIL,Milwaukee Bucks,Eastern,108.30,1,DEN,127,110,1,17
2022-02-26,2022,DEN,Denver Nuggets,Western,105.13,0,,,,,
2022-02-26,2022,GSW,Golden State Warriors,Western,101.33,0,,,,,
